data,evento,time_a,time_b,vencedor,resultado,mapa_1,rounds_time_a_mapa_1,rounds_time_b_mapa_1,mapa_2,rounds_time_a_mapa_2,rounds_time_b_mapa_2,mapa_3,rounds_time_a_mapa_3,rounds_time_b_mapa_3,mapa_4,rounds_time_a_mapa_4,rounds_time_b_mapa_4,mapa_5,rounds_time_a_mapa_5,rounds_time_b_mapa_5
2025-05-22,EWC 2025: PAC Qualifier,PRX,TLN,PRX,1-0,Sunset,13,9,,,,,,,,,,,,
2025-05-18,HERO ESPORTS ACL 25,PRX,DRX,DRX,1-3,Split ,14,12,Ascent,4,13,Lotus,11,13,Icebox,9,13,,,
2025-05-15,HERO ESPORTS ACL 25,PRX,XLG,PRX,2-0,Icebox,15,13,Lotus,13,8,,,,,,,,,
2025-05-10,VCT 25: PAC Stage 1,PRX,RRQ,RRQ,2-3,Fracture,13,2,Split,12,14,Pearl,12,14,Icebox,13,3,Ascent,6,13
2025-05-09,VCT 25: PAC Stage 1,PRX,DRX,PRX,2-0,Lotus,13,11,Icebox,13,8,,,,,,,,,
2025-05-04,VCT 25: PAC Stage 1,PRX,BME,PRX,2-0,Lotus,13,5,Fracture,13,8,,,,,,,,,
2025-05-03,VCT 25: PAC Stage 1,PRX,T1,PRX,2-1,Fracture,3,13,Ascent,13,4,Lotus,13,2,,,,,,
2025-04-19,VCT 25: PAC Stage 1,PRX,GE,PRX,2-0,Split,13,5,Lotus,13,9,,,,,,,,,
2025-04-14,VCT 25: PAC Stage 1,PRX,DFM,PRX,2-1,Ascent,11,13,Lotus,13,7,Pearl,15,13,,,,,,
2025-04-06,VCT 25: PAC Stage 1,PRX,BME,BME,1-2,Ascent,13,8,Fracture,9,13,Pearl,10,13,,,,,,
2025-03-30,VCT 25: PAC Stage 1,PRX,GEN,GEN,1-2,Lotus,10,13,Fracture,13,6,Haven,4,13,,,,,,
2025-03-23,VCT 25: PAC Stage 1,PRX,DRX,DRX,1-2,Haven,9,13,Icebox,13,10,Lotus,7,13,,,,,,
2025-02-01,VCT 25: PAC Kickoff,PRX,DFM,DFM,0-2,Abyss,10,13,Pearl,1,13,,,,,,,,,
2025-01-26,VCT 25: PAC Kickoff,PRX,ZETA,PRX,2-0,Lotus,13,5,Fracture,13,8,,,,,,,,,
2025-01-20,VCT 25: PAC Kickoff,PRX,T1,T1,1-2,Bind,6,13,Fracture,13,8,Split,11,13,,,,,,
2025-05-11,VCT 25: PAC Stage 1,RRQ,GEN,RRQ,3-1,Haven,8,13,Ascent,13,11,Lotus,13,9,Icebox,13,11,,,
2025-05-10,VCT 25: PAC Stage 1,RRQ,PRX,RRQ,3-2,Fracture,2,13,Split,14,12,Pearl,14,12,Icebox,3,13,Ascent,13,6
2025-05-09,VCT 25: PAC Stage 1,RRQ,GEN,GEN,0-2,Lotus,5,13,Icebox,8,13,,,,,,,,,
2025-04-27,VCT 25: PAC Stage 1,RRQ,DRX,RRQ,2-1,Fracture,11,13,Icebox,13,4,Lotus,14,12,,,,,,
2025-04-21,VCT 25: PAC Stage 1,RRQ,TS,TS,1-2,Haven,15,13,Ascent,5,13,Lotus,9,13,,,,,,
2025-04-13,VCT 25: PAC Stage 1,RRQ,T1,RRQ,2-1,Pearl,10,13,Icebox,13,10,Lotus,13,5,,,,,,
2025-04-05,VCT 25: PAC Stage 1,RRQ,ZETA,RRQ,2-0,Split,13,6,Haven,13,9,,,,,,,,,
2025-03-31,VCT 25: PAC Stage 1,RRQ,TLN,RRQ,2-0,Lotus,13,8,Ascent,13,5,,,,,,,,,
2025-03-24,VCT 25: PAC Stage 1,RRQ,NS,NS,1-2,Ascent,13,5,Split,8,13,Pearl,10,13,,,,,,
2025-02-01,VCT 25: PAC Kickoff,RRQ,NS,NS,1-2,Fracture,14,12,Lotus,20,22,Pearl,8,13,,,,,,
2025-01-27,VCT 25: PAC Kickoff,RRQ,TS,RRQ,2-1,Lotus,9,13,Pearl,13,4,Haven,13,4,,,,,,
2025-01-25,VCT 25: PAC Kickoff,RRQ,GEN,GEN,1-2,Fracture,13,6,Lotus,8,13,Haven,12,14,,,,,,
2025-01-19,VCT 25: PAC Kickoff,RRQ,DFM,RRQ,2-1,Abyss,12,14,Pearl,13,3,Haven,13,3,,,,,,
2025-05-18,VCT 25: EMEA Stage 1,FNC,TH,FNC,3-0,Split,13,4,Icebox,13,9,Fracture,14,12,,,,,,
2025-05-16,VCT 25: EMEA Stage 1,FNC,TH,FNC,2-0,Fracture,13,6,Icebox,13,8,,,,,,,,,
2025-05-10,VCT 25: EMEA Stage 1,FNC,TL,FNC,2-1,Split,13,10,Icebox,11,13,Fracture,14,12,,,,,,
2025-05-08,VCT 25: EMEA Stage 1,FNC,FUT,FNC,2-0,Split,13,8,Lotus,13,6,,,,,,,,,
2025-05-02,VCT 25: EMEA Stage 1,FNC,TH,TH,0-2,Haven,5,13,Lotus,10,13,,,,,,,,,
2025-04-17,VCT 25: EMEA Stage 1,FNC,GX,FNC,2-1,Ascent,10,13,Lotus,13,5,Haven,13,10,,,,,,
2025-04-11,VCT 25: EMEA Stage 1,FNC,APK,FNC,2-0,Lotus,13,5,Split,16,14,,,,,,,,,
2025-04-04,VCT 25: EMEA Stage 1,FNC,VIT,FNC,2-1,Split,16,18,Lotus,13,6,Haven,13,10,,,,,,
2025-03-28,VCT 25: EMEA Stage 1,FNC,NAVI,FNC,2-0,Split,13,5,Fracture,13,11,,,,,,,,,
2025-01-31,VCT 25: EMEA Kickoff,FNC,FUT,FUT,0-2,Abyss,10,13,Fracture,6,13,,,,,,,,,
2025-01-30,VCT 25: EMEA Kickoff,FNC,M8,FNC,2-0,Abyss,13,5,Fracture,13,6,,,,,,,,,
2025-01-23,VCT 25: EMEA Kickoff,FNC,NAVI,FNC,2-1,Pearl,13,9,Fracture,8,13,Haven,15,13,,,,,,
2025-01-17,VCT 25: EMEA Kickoff,FNC,BBL,BBL,1-2,Abyss,8,13,Fracture,13,8,Split,10,13,,,,,,
2025-05-18,VCT 25: EMEA Stage 1,TH,FNC,FNC,0-3,Split,4,13,Icebox,9,13,Fracture,12,14,,,,,,
2025-05-17,VCT 25: EMEA Stage 1,TH,TL,TH,3-0,Haven,13,3,Ascent,13,10,Icebox,13,2,,,,,,
2025-05-16,VCT 25: EMEA Stage 1,TH,FNC,FNC,0-2,Fracture,6,13,Icebox,8,13,,,,,,,,,
2025-05-10,VCT 25: EMEA Stage 1,TH,BBL,TH,2-0,Icebox,14,12,Ascent,13,10,,,,,,,,,
2025-05-02,VCT 25: EMEA Stage 1,TH,FNC,TH,2-0,Haven,13,5,Lotus,13,10,,,,,,,,,
2025-04-18,VCT 25: EMEA Stage 1,TH,NAVI,TH,2-0,Haven,13,3,Pearl,13,8,,,,,,,,,
2025-04-10,VCT 25: EMEA Stage 1,TH,VIT,TH,2-0,Haven,13,10,Icebox,13,6,,,,,,,,,
2025-04-03,VCT 25: EMEA Stage 1,TH,GX,TH,2-1,Haven,13,3,Split,11,13,Lotus,13,8,,,,,,
2025-03-27,VCT 25: EMEA Stage 1,TH,APK,TH,2-1,Ascent,5,13,Split,13,8,Icebox,13,6,,,,,,
